BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Princess L. Blanding,3.0,Albemarle County,1.03%,Liberation,104 - AGNOR-HURT (05),9.0
Write In,2147483647.0,Albemarle County,0.34%,Write-In,104 - AGNOR-HURT (05),3.0
Glenn A. Youngkin,1.0,Albemarle County,30.54%,Republican,105 - DUNLORA (05),408.0
Terry R. McAuliffe,2.0,Albemarle County,69.01%,Democratic,105 - DUNLORA (05),922.0
Princess L. Blanding,3.0,Albemarle County,0.45%,Liberation,105 - DUNLORA (05),6.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,105 - DUNLORA (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,48.31%,Republican,106 - NORTHSIDE (05),772.0
Terry R. McAuliffe,2.0,Albemarle County,51.00%,Democratic,106 - NORTHSIDE (05),815.0
Princess L. Blanding,3.0,Albemarle County,0.63%,Liberation,106 - NORTHSIDE (05),10.0
Write In,2147483647.0,Albemarle County,0.06%,Write-In,106 - NORTHSIDE (05),1.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,201 - JACK JOUETT (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,201 - JACK JOUETT (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,201 - JACK JOUETT (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,201 - JACK JOUETT (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,202 - UNIVERSITY (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,202 - UNIVERSITY (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,202 - UNIVERSITY (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,202 - UNIVERSITY (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,28.62%,Republican,203 - GEORGETOWN (05),281.0
Terry R. McAuliffe,2.0,Albemarle County,70.06%,Democratic,203 - GEORGETOWN (05),688.0
Princess L. Blanding,3.0,Albemarle County,1.12%,Liberation,203 - GEORGETOWN (05),11.0
Write In,2147483647.0,Albemarle County,0.20%,Write-In,203 - GEORGETOWN (05),2.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,301 - IVY (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,301 - IVY (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,301 - IVY (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,301 - IVY (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,302 - RED HILL (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,302 - RED HILL (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,302 - RED HILL (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,302 - RED HILL (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,41.53%,Republican,304 - EAST IVY (05),179.0
Terry R. McAuliffe,2.0,Albemarle County,58.24%,Democratic,304 - EAST IVY (05),251.0
Princess L. Blanding,3.0,Albemarle County,0.23%,Liberation,304 - EAST IVY (05),1.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,304 - EAST IVY (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,305 - COUNTRY GREEN (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,305 - COUNTRY GREEN (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,305 - COUNTRY GREEN (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,305 - COUNTRY GREEN (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,49.50%,Republican,306 - PORTERS (05),395.0
Terry R. McAuliffe,2.0,Albemarle County,49.12%,Democratic,306 - PORTERS (05),392.0
Princess L. Blanding,3.0,Albemarle County,1.38%,Liberation,306 - PORTERS (05),11.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,306 - PORTERS (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,307 - YELLOW MOUNTAIN (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,307 - YELLOW MOUNTAIN (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,307 - YELLOW MOUNTAIN (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,307 - YELLOW MOUNTAIN (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,66.30%,Republican,401 - SCOTTSVILLE (05),545.0
Terry R. McAuliffe,2.0,Albemarle County,33.33%,Democratic,401 - SCOTTSVILLE (05),274.0
Princess L. Blanding,3.0,Albemarle County,0.36%,Liberation,401 - SCOTTSVILLE (05),3.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,401 - SCOTTSVILLE (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,64.50%,Republican,402 - MONTICELLO (05),447.0
Terry R. McAuliffe,2.0,Albemarle County,34.63%,Democratic,402 - MONTICELLO (05),240.0
Princess L. Blanding,3.0,Albemarle County,0.72%,Liberation,402 - MONTICELLO (05),5.0
Write In,2147483647.0,Albemarle County,0.14%,Write-In,402 - MONTICELLO (05),1.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,405 - MOUNTAIN VIEW (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,405 - MOUNTAIN VIEW (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,405 - MOUNTAIN VIEW (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,405 - MOUNTAIN VIEW (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,61.01%,Republican,406 - STONE ROBINSON (05),776.0
Terry R. McAuliffe,2.0,Albemarle County,38.52%,Democratic,406 - STONE ROBINSON (05),490.0
Princess L. Blanding,3.0,Albemarle County,0.47%,Liberation,406 - STONE ROBINSON (05),6.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,406 - STONE ROBINSON (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,31.72%,Republican,407 - BISCUIT RUN (05),177.0
Terry R. McAuliffe,2.0,Albemarle County,66.13%,Democratic,407 - BISCUIT RUN (05),369.0
Princess L. Blanding,3.0,Albemarle County,2.15%,Liberation,407 - BISCUIT RUN (05),12.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,407 - BISCUIT RUN (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,49.86%,Republican,501 - KESWICK (05),347.0
Terry R. McAuliffe,2.0,Albemarle County,49.71%,Democratic,501 - KESWICK (05),346.0
Princess L. Blanding,3.0,Albemarle County,0.29%,Liberation,501 - KESWICK (05),2.0
Write In,2147483647.0,Albemarle County,0.14%,Write-In,501 - KESWICK (05),1.0
Glenn A. Youngkin,1.0,Albemarle County,55.89%,Republican,502 - STONY POINT (05),451.0
Terry R. McAuliffe,2.0,Albemarle County,43.49%,Democratic,502 - STONY POINT (05),351.0
Princess L. Blanding,3.0,Albemarle County,0.62%,Liberation,502 - STONY POINT (05),5.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,502 - STONY POINT (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,503 - HOLLYMEAD (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,503 - HOLLYMEAD (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,503 - HOLLYMEAD (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,503 - HOLLYMEAD (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,504 - FREE BRIDGE (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,504 - FREE BRIDGE (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,504 - FREE BRIDGE (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,504 - FREE BRIDGE (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,49.21%,Republican,506 - BAKER-BUTLER (05),752.0
Terry R. McAuliffe,2.0,Albemarle County,50.00%,Democratic,506 - BAKER-BUTLER (05),764.0
Princess L. Blanding,3.0,Albemarle County,0.79%,Liberation,506 - BAKER-BUTLER (05),12.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,506 - BAKER-BUTLER (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,43.81%,Republican,507 - PANTOPS (05),396.0
Terry R. McAuliffe,2.0,Albemarle County,55.64%,Democratic,507 - PANTOPS (05),503.0
Princess L. Blanding,3.0,Albemarle County,0.44%,Liberation,507 - PANTOPS (05),4.0
Write In,2147483647.0,Albemarle County,0.11%,Write-In,507 - PANTOPS (05),1.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,601 - CROZET (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,601 - CROZET (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,601 - CROZET (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,601 - CROZET (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,602 - FREE UNION (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,602 - FREE UNION (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,602 - FREE UNION (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,602 - FREE UNION (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,603 - EARLYSVILLE (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,603 - EARLYSVILLE (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,603 - EARLYSVILLE (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,603 - EARLYSVILLE (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,604 - BROWNSVILLE (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,604 - BROWNSVILLE (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,604 - BROWNSVILLE (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,604 - BROWNSVILLE (05),0.0
Glenn A. Youngkin,1.0,Albemarle County,0.00%,Republican,606 - MECHUMS RIVER (05),0.0
Terry R. McAuliffe,2.0,Albemarle County,0.00%,Democratic,606 - MECHUMS RIVER (05),0.0
Princess L. Blanding,3.0,Albemarle County,0.00%,Liberation,606 - MECHUMS RIVER (05),0.0
Write In,2147483647.0,Albemarle County,0.00%,Write-In,606 - MECHUMS RIVER (05),0.0
Glenn A. Youngkin,1.0,Alleghany County,0.00%,Republican,# AB - Central Absentee Precinct (09),0.0
Terry R. McAuliffe,2.0,Alleghany County,0.00%,Democratic,# AB - Central Absentee Precinct (09),0.0
Princess L. Blanding,3.0,Alleghany County,0.00%,Liberation,# AB - Central Absentee Precinct (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,# AB - Central Absentee Precinct (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,0.00%,Republican,# EV - Central Absentee Precinct (09),0.0
Terry R. McAuliffe,2.0,Alleghany County,0.00%,Democratic,# EV - Central Absentee Precinct (09),0.0
Princess L. Blanding,3.0,Alleghany County,0.00%,Liberation,# EV - Central Absentee Precinct (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,# EV - Central Absentee Precinct (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,0.00%,Republican,# PE - Central Absentee Precinct (09),0.0
Terry R. McAuliffe,2.0,Alleghany County,0.00%,Democratic,# PE - Central Absentee Precinct (09),0.0
Princess L. Blanding,3.0,Alleghany County,0.00%,Liberation,# PE - Central Absentee Precinct (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,# PE - Central Absentee Precinct (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,0.00%,Republican,## Provisional (09),0.0
Terry R. McAuliffe,2.0,Alleghany County,0.00%,Democratic,## Provisional (09),0.0
Princess L. Blanding,3.0,Alleghany County,0.00%,Liberation,## Provisional (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,## Provisional (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,85.21%,Republican,101 - ARRITT (09),461.0
Terry R. McAuliffe,2.0,Alleghany County,14.23%,Democratic,101 - ARRITT (09),77.0
Princess L. Blanding,3.0,Alleghany County,0.55%,Liberation,101 - ARRITT (09),3.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,101 - ARRITT (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,88.29%,Republican,103 - DAMERON (09),181.0
Terry R. McAuliffe,2.0,Alleghany County,11.22%,Democratic,103 - DAMERON (09),23.0
Princess L. Blanding,3.0,Alleghany County,0.49%,Liberation,103 - DAMERON (09),1.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,103 - DAMERON (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,84.97%,Republican,201 - HUMPBACK BRIDGE (09),260.0
Terry R. McAuliffe,2.0,Alleghany County,14.71%,Democratic,201 - HUMPBACK BRIDGE (09),45.0
Princess L. Blanding,3.0,Alleghany County,0.33%,Liberation,201 - HUMPBACK BRIDGE (09),1.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,201 - HUMPBACK BRIDGE (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,82.31%,Republican,202 - DOLLY ANN (09),321.0
Terry R. McAuliffe,2.0,Alleghany County,16.67%,Democratic,202 - DOLLY ANN (09),65.0
Princess L. Blanding,3.0,Alleghany County,0.26%,Liberation,202 - DOLLY ANN (09),1.0
Write In,2147483647.0,Alleghany County,0.77%,Write-In,202 - DOLLY ANN (09),3.0
Glenn A. Youngkin,1.0,Alleghany County,90.74%,Republican,301 - CALLAGHAN (09),294.0
Terry R. McAuliffe,2.0,Alleghany County,8.95%,Democratic,301 - CALLAGHAN (09),29.0
Princess L. Blanding,3.0,Alleghany County,0.31%,Liberation,301 - CALLAGHAN (09),1.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,301 - CALLAGHAN (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,80.90%,Republican,302 - GRIFFITH (09),449.0
Terry R. McAuliffe,2.0,Alleghany County,18.92%,Democratic,302 - GRIFFITH (09),105.0
Princess L. Blanding,3.0,Alleghany County,0.18%,Liberation,302 - GRIFFITH (09),1.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,302 - GRIFFITH (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,81.49%,Republican,401 - LOW MOOR (09),295.0
Terry R. McAuliffe,2.0,Alleghany County,18.51%,Democratic,401 - LOW MOOR (09),67.0
Princess L. Blanding,3.0,Alleghany County,0.00%,Liberation,401 - LOW MOOR (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,401 - LOW MOOR (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,81.41%,Republican,402 - JACKSON HEIGHTS (09),359.0
Terry R. McAuliffe,2.0,Alleghany County,18.59%,Democratic,402 - JACKSON HEIGHTS (09),82.0
Princess L. Blanding,3.0,Alleghany County,0.00%,Liberation,402 - JACKSON HEIGHTS (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,402 - JACKSON HEIGHTS (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,70.67%,Republican,501 - IRON GATE (09),147.0
Terry R. McAuliffe,2.0,Alleghany County,28.37%,Democratic,501 - IRON GATE (09),59.0
Princess L. Blanding,3.0,Alleghany County,0.96%,Liberation,501 - IRON GATE (09),2.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,501 - IRON GATE (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,82.81%,Republican,502 - PETERS SWITCH (09),530.0
Terry R. McAuliffe,2.0,Alleghany County,16.56%,Democratic,502 - PETERS SWITCH (09),106.0
Princess L. Blanding,3.0,Alleghany County,0.31%,Liberation,502 - PETERS SWITCH (09),2.0
Write In,2147483647.0,Alleghany County,0.31%,Write-In,502 - PETERS SWITCH (09),2.0
Glenn A. Youngkin,1.0,Alleghany County,66.86%,Republican,601 - DISTRICT 1 (09),462.0
Terry R. McAuliffe,2.0,Alleghany County,33.00%,Democratic,601 - DISTRICT 1 (09),228.0
Princess L. Blanding,3.0,Alleghany County,0.14%,Liberation,601 - DISTRICT 1 (09),1.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,601 - DISTRICT 1 (09),0.0
Glenn A. Youngkin,1.0,Alleghany County,60.35%,Republican,701 - DISTRICT 2 (09),274.0
Terry R. McAuliffe,2.0,Alleghany County,38.55%,Democratic,701 - DISTRICT 2 (09),175.0
Princess L. Blanding,3.0,Alleghany County,1.10%,Liberation,701 - DISTRICT 2 (09),5.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,701 - DISTRICT 2 (09),0.0
Glenn A. Youngkin,1.0,Amelia County,39.15%,Republican,# AB - Central Absentee Precinct (07),101.0
Terry R. McAuliffe,2.0,Amelia County,60.47%,Democratic,# AB - Central Absentee Precinct (07),156.0
Princess L. Blanding,3.0,Amelia County,0.39%,Liberation,# AB - Central Absentee Precinct (07),1.0
Write In,2147483647.0,Amelia County,0.00%,Write-In,# AB - Central Absentee Precinct (07),0.0
Glenn A. Youngkin,1.0,Amelia County,69.75%,Republican,# EV - Central Absentee Precinct (07),1372.0
Terry R. McAuliffe,2.0,Amelia County,29.99%,Democratic,# EV - Central Absentee Precinct (07),590.0
