BallotName,BallotOrder,LocalityName,Percentage,PoliticalParty,PrecinctName,Votes
Donald J. Trump,2.0,Accomack County,60.63%,Republican,301 - NEW CHURCH (02),442.0
Jo Jorgensen,3.0,Accomack County,1.23%,Libertarian,301 - NEW CHURCH (02),9.0
Write In,2147483647.0,Accomack County,0.14%,Write-In,301 - NEW CHURCH (02),1.0
Joseph R. Biden,1.0,Accomack County,21.27%,Democratic,401 - BLOXOM (02),84.0
Donald J. Trump,2.0,Accomack County,77.47%,Republican,401 - BLOXOM (02),306.0
Jo Jorgensen,3.0,Accomack County,1.27%,Libertarian,401 - BLOXOM (02),5.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,401 - BLOXOM (02),0.0
Joseph R. Biden,1.0,Accomack County,21.16%,Democratic,402 - PARKSLEY (02),106.0
Donald J. Trump,2.0,Accomack County,77.45%,Republican,402 - PARKSLEY (02),388.0
Jo Jorgensen,3.0,Accomack County,1.40%,Libertarian,402 - PARKSLEY (02),7.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,402 - PARKSLEY (02),0.0
Joseph R. Biden,1.0,Accomack County,18.28%,Democratic,403 - SAXIS (02),34.0
Donald J. Trump,2.0,Accomack County,81.72%,Republican,403 - SAXIS (02),152.0
Jo Jorgensen,3.0,Accomack County,0.00%,Libertarian,403 - SAXIS (02),0.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,403 - SAXIS (02),0.0
Joseph R. Biden,1.0,Accomack County,46.15%,Democratic,501 - MAPPSVILLE (02),132.0
Donald J. Trump,2.0,Accomack County,52.10%,Republican,501 - MAPPSVILLE (02),149.0
Jo Jorgensen,3.0,Accomack County,1.40%,Libertarian,501 - MAPPSVILLE (02),4.0
Write In,2147483647.0,Accomack County,0.35%,Write-In,501 - MAPPSVILLE (02),1.0
Joseph R. Biden,1.0,Accomack County,53.51%,Democratic,502 - RUE (02),99.0
Donald J. Trump,2.0,Accomack County,44.86%,Republican,502 - RUE (02),83.0
Jo Jorgensen,3.0,Accomack County,1.62%,Libertarian,502 - RUE (02),3.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,502 - RUE (02),0.0
Joseph R. Biden,1.0,Accomack County,22.87%,Democratic,601 - ACCOMAC (02),113.0
Donald J. Trump,2.0,Accomack County,74.90%,Republican,601 - ACCOMAC (02),370.0
Jo Jorgensen,3.0,Accomack County,2.02%,Libertarian,601 - ACCOMAC (02),10.0
Write In,2147483647.0,Accomack County,0.20%,Write-In,601 - ACCOMAC (02),1.0
Joseph R. Biden,1.0,Accomack County,9.32%,Democratic,602 - TANGIER (02),22.0
Donald J. Trump,2.0,Accomack County,88.56%,Republican,602 - TANGIER (02),209.0
Jo Jorgensen,3.0,Accomack County,1.69%,Libertarian,602 - TANGIER (02),4.0
Write In,2147483647.0,Accomack County,0.42%,Write-In,602 - TANGIER (02),1.0
Joseph R. Biden,1.0,Accomack County,19.85%,Democratic,701 - NANDUA (02),129.0
Donald J. Trump,2.0,Accomack County,77.85%,Republican,701 - NANDUA (02),506.0
Jo Jorgensen,3.0,Accomack County,2.00%,Libertarian,701 - NANDUA (02),13.0
Write In,2147483647.0,Accomack County,0.31%,Write-In,701 - NANDUA (02),2.0
Joseph R. Biden,1.0,Accomack County,23.84%,Democratic,801 - BOBTOWN (02),72.0
Donald J. Trump,2.0,Accomack County,75.17%,Republican,801 - BOBTOWN (02),227.0
Jo Jorgensen,3.0,Accomack County,0.66%,Libertarian,801 - BOBTOWN (02),2.0
Write In,2147483647.0,Accomack County,0.33%,Write-In,801 - BOBTOWN (02),1.0
Joseph R. Biden,1.0,Accomack County,31.44%,Democratic,802 - MELFA (02),138.0
Donald J. Trump,2.0,Accomack County,66.51%,Republican,802 - MELFA (02),292.0
Jo Jorgensen,3.0,Accomack County,1.59%,Libertarian,802 - MELFA (02),7.0
Write In,2147483647.0,Accomack County,0.46%,Write-In,802 - MELFA (02),2.0
Joseph R. Biden,1.0,Accomack County,17.14%,Democratic,803 - WACHAPREAGUE (02),60.0
Donald J. Trump,2.0,Accomack County,80.00%,Republican,803 - WACHAPREAGUE (02),280.0
Jo Jorgensen,3.0,Accomack County,2.57%,Libertarian,803 - WACHAPREAGUE (02),9.0
Write In,2147483647.0,Accomack County,0.29%,Write-In,803 - WACHAPREAGUE (02),1.0
Joseph R. Biden,1.0,Accomack County,43.34%,Democratic,901 - PAINTER (02),348.0
Donald J. Trump,2.0,Accomack County,55.29%,Republican,901 - PAINTER (02),444.0
Jo Jorgensen,3.0,Accomack County,1.37%,Libertarian,901 - PAINTER (02),11.0
Write In,2147483647.0,Accomack County,0.00%,Write-In,901 - PAINTER (02),0.0
Joseph R. Biden,1.0,Albemarle County,77.28%,Democratic,# AB - Central Absentee Precinct (05),33416.0
Donald J. Trump,2.0,Albemarle County,21.10%,Republican,# AB - Central Absentee Precinct (05),9124.0
Jo Jorgensen,3.0,Albemarle County,1.14%,Libertarian,# AB - Central Absentee Precinct (05),492.0
Write In,2147483647.0,Albemarle County,0.49%,Write-In,# AB - Central Absentee Precinct (05),210.0
Joseph R. Biden,1.0,Albemarle County,76.61%,Democratic,## Provisional (05),334.0
Donald J. Trump,2.0,Albemarle County,21.33%,Republican,## Provisional (05),93.0
Jo Jorgensen,3.0,Albemarle County,1.15%,Libertarian,## Provisional (05),5.0
Write In,2147483647.0,Albemarle County,0.92%,Write-In,## Provisional (05),4.0
Joseph R. Biden,1.0,Albemarle County,46.92%,Democratic,101 - WOODBROOK (05),365.0
Donald J. Trump,2.0,Albemarle County,48.84%,Republican,101 - WOODBROOK (05),380.0
Jo Jorgensen,3.0,Albemarle County,2.96%,Libertarian,101 - WOODBROOK (05),23.0
Write In,2147483647.0,Albemarle County,1.29%,Write-In,101 - WOODBROOK (05),10.0
Joseph R. Biden,1.0,Albemarle County,55.43%,Democratic,103 - BRANCHLANDS (05),153.0
Donald J. Trump,2.0,Albemarle County,41.30%,Republican,103 - BRANCHLANDS (05),114.0
Jo Jorgensen,3.0,Albemarle County,2.54%,Libertarian,103 - BRANCHLANDS (05),7.0
Write In,2147483647.0,Albemarle County,0.72%,Write-In,103 - BRANCHLANDS (05),2.0
Joseph R. Biden,1.0,Albemarle County,54.51%,Democratic,104 - AGNOR-HURT (05),369.0
Donald J. Trump,2.0,Albemarle County,41.36%,Republican,104 - AGNOR-HURT (05),280.0
Jo Jorgensen,3.0,Albemarle County,3.99%,Libertarian,104 - AGNOR-HURT (05),27.0
Write In,2147483647.0,Albemarle County,0.15%,Write-In,104 - AGNOR-HURT (05),1.0
Joseph R. Biden,1.0,Albemarle County,50.15%,Democratic,105 - DUNLORA (05),344.0
Donald J. Trump,2.0,Albemarle County,44.31%,Republican,105 - DUNLORA (05),304.0
Jo Jorgensen,3.0,Albemarle County,4.66%,Libertarian,105 - DUNLORA (05),32.0
Write In,2147483647.0,Albemarle County,0.87%,Write-In,105 - DUNLORA (05),6.0
Joseph R. Biden,1.0,Albemarle County,37.84%,Democratic,106 - NORTHSIDE (05),456.0
Donald J. Trump,2.0,Albemarle County,59.92%,Republican,106 - NORTHSIDE (05),722.0
Jo Jorgensen,3.0,Albemarle County,1.83%,Libertarian,106 - NORTHSIDE (05),22.0
Write In,2147483647.0,Albemarle County,0.41%,Write-In,106 - NORTHSIDE (05),5.0
Joseph R. Biden,1.0,Albemarle County,40.78%,Democratic,201 - JACK JOUETT (05),292.0
Donald J. Trump,2.0,Albemarle County,55.31%,Republican,201 - JACK JOUETT (05),396.0
Jo Jorgensen,3.0,Albemarle County,3.21%,Libertarian,201 - JACK JOUETT (05),23.0
Write In,2147483647.0,Albemarle County,0.70%,Write-In,201 - JACK JOUETT (05),5.0
Joseph R. Biden,1.0,Albemarle County,72.56%,Democratic,202 - UNIVERSITY (05),357.0
Donald J. Trump,2.0,Albemarle County,22.76%,Republican,202 - UNIVERSITY (05),112.0
Jo Jorgensen,3.0,Albemarle County,2.03%,Libertarian,202 - UNIVERSITY (05),10.0
Write In,2147483647.0,Albemarle County,2.64%,Write-In,202 - UNIVERSITY (05),13.0
Joseph R. Biden,1.0,Albemarle County,65.15%,Democratic,203 - GEORGETOWN (05),486.0
Donald J. Trump,2.0,Albemarle County,31.50%,Republican,203 - GEORGETOWN (05),235.0
Jo Jorgensen,3.0,Albemarle County,2.41%,Libertarian,203 - GEORGETOWN (05),18.0
Write In,2147483647.0,Albemarle County,0.94%,Write-In,203 - GEORGETOWN (05),7.0
Joseph R. Biden,1.0,Albemarle County,47.05%,Democratic,301 - IVY (05),479.0
Donald J. Trump,2.0,Albemarle County,49.71%,Republican,301 - IVY (05),506.0
Jo Jorgensen,3.0,Albemarle County,2.26%,Libertarian,301 - IVY (05),23.0
Write In,2147483647.0,Albemarle County,0.98%,Write-In,301 - IVY (05),10.0
Joseph R. Biden,1.0,Albemarle County,39.67%,Democratic,302 - RED HILL (05),411.0
Donald J. Trump,2.0,Albemarle County,58.49%,Republican,302 - RED HILL (05),606.0
Jo Jorgensen,3.0,Albemarle County,1.25%,Libertarian,302 - RED HILL (05),13.0
Write In,2147483647.0,Albemarle County,0.58%,Write-In,302 - RED HILL (05),6.0
Joseph R. Biden,1.0,Albemarle County,49.41%,Democratic,304 - EAST IVY (05),125.0
Donald J. Trump,2.0,Albemarle County,45.45%,Republican,304 - EAST IVY (05),115.0
Jo Jorgensen,3.0,Albemarle County,2.37%,Libertarian,304 - EAST IVY (05),6.0
Write In,2147483647.0,Albemarle County,2.77%,Write-In,304 - EAST IVY (05),7.0
Joseph R. Biden,1.0,Albemarle County,42.20%,Democratic,305 - COUNTRY GREEN (05),230.0
Donald J. Trump,2.0,Albemarle County,53.76%,Republican,305 - COUNTRY GREEN (05),293.0
Jo Jorgensen,3.0,Albemarle County,2.57%,Libertarian,305 - COUNTRY GREEN (05),14.0
Write In,2147483647.0,Albemarle County,1.47%,Write-In,305 - COUNTRY GREEN (05),8.0
Joseph R. Biden,1.0,Albemarle County,44.74%,Democratic,306 - PORTERS (05),336.0
Donald J. Trump,2.0,Albemarle County,53.53%,Republican,306 - PORTERS (05),402.0
Jo Jorgensen,3.0,Albemarle County,1.33%,Libertarian,306 - PORTERS (05),10.0
Write In,2147483647.0,Albemarle County,0.40%,Write-In,306 - PORTERS (05),3.0
Joseph R. Biden,1.0,Albemarle County,38.87%,Democratic,307 - YELLOW MOUNTAIN (05),124.0
Donald J. Trump,2.0,Albemarle County,57.99%,Republican,307 - YELLOW MOUNTAIN (05),185.0
Jo Jorgensen,3.0,Albemarle County,2.51%,Libertarian,307 - YELLOW MOUNTAIN (05),8.0
Write In,2147483647.0,Albemarle County,0.63%,Write-In,307 - YELLOW MOUNTAIN (05),2.0
Joseph R. Biden,1.0,Albemarle County,24.70%,Democratic,401 - SCOTTSVILLE (05),183.0
Donald J. Trump,2.0,Albemarle County,73.28%,Republican,401 - SCOTTSVILLE (05),543.0
Jo Jorgensen,3.0,Albemarle County,1.89%,Libertarian,401 - SCOTTSVILLE (05),14.0
Write In,2147483647.0,Albemarle County,0.13%,Write-In,401 - SCOTTSVILLE (05),1.0
Joseph R. Biden,1.0,Albemarle County,25.43%,Democratic,402 - MONTICELLO (05),133.0
Donald J. Trump,2.0,Albemarle County,71.51%,Republican,402 - MONTICELLO (05),374.0
Jo Jorgensen,3.0,Albemarle County,2.29%,Libertarian,402 - MONTICELLO (05),12.0
Write In,2147483647.0,Albemarle County,0.76%,Write-In,402 - MONTICELLO (05),4.0
Joseph R. Biden,1.0,Albemarle County,47.37%,Democratic,405 - MOUNTAIN VIEW (05),288.0
Donald J. Trump,2.0,Albemarle County,47.37%,Republican,405 - MOUNTAIN VIEW (05),288.0
Jo Jorgensen,3.0,Albemarle County,4.61%,Libertarian,405 - MOUNTAIN VIEW (05),28.0
Write In,2147483647.0,Albemarle County,0.66%,Write-In,405 - MOUNTAIN VIEW (05),4.0
Joseph R. Biden,1.0,Albemarle County,26.60%,Democratic,406 - STONE ROBINSON (05),224.0
Donald J. Trump,2.0,Albemarle County,70.07%,Republican,406 - STONE ROBINSON (05),590.0
Jo Jorgensen,3.0,Albemarle County,2.38%,Libertarian,406 - STONE ROBINSON (05),20.0
Write In,2147483647.0,Albemarle County,0.95%,Write-In,406 - STONE ROBINSON (05),8.0
Joseph R. Biden,1.0,Albemarle County,54.57%,Democratic,407 - BISCUIT RUN (05),215.0
Donald J. Trump,2.0,Albemarle County,42.39%,Republican,407 - BISCUIT RUN (05),167.0
Jo Jorgensen,3.0,Albemarle County,2.28%,Libertarian,407 - BISCUIT RUN (05),9.0
Write In,2147483647.0,Albemarle County,0.76%,Write-In,407 - BISCUIT RUN (05),3.0
Joseph R. Biden,1.0,Albemarle County,40.03%,Democratic,501 - KESWICK (05),245.0
Donald J. Trump,2.0,Albemarle County,57.68%,Republican,501 - KESWICK (05),353.0
Jo Jorgensen,3.0,Albemarle County,1.80%,Libertarian,501 - KESWICK (05),11.0
Write In,2147483647.0,Albemarle County,0.49%,Write-In,501 - KESWICK (05),3.0
Joseph R. Biden,1.0,Albemarle County,33.71%,Democratic,502 - STONY POINT (05),210.0
Donald J. Trump,2.0,Albemarle County,63.56%,Republican,502 - STONY POINT (05),396.0
Jo Jorgensen,3.0,Albemarle County,1.77%,Libertarian,502 - STONY POINT (05),11.0
Write In,2147483647.0,Albemarle County,0.96%,Write-In,502 - STONY POINT (05),6.0
Joseph R. Biden,1.0,Albemarle County,50.47%,Democratic,503 - HOLLYMEAD (05),426.0
Donald J. Trump,2.0,Albemarle County,46.80%,Republican,503 - HOLLYMEAD (05),395.0
Jo Jorgensen,3.0,Albemarle County,2.01%,Libertarian,503 - HOLLYMEAD (05),17.0
Write In,2147483647.0,Albemarle County,0.71%,Write-In,503 - HOLLYMEAD (05),6.0
Joseph R. Biden,1.0,Albemarle County,49.25%,Democratic,504 - FREE BRIDGE (05),230.0
Donald J. Trump,2.0,Albemarle County,47.32%,Republican,504 - FREE BRIDGE (05),221.0
Jo Jorgensen,3.0,Albemarle County,3.21%,Libertarian,504 - FREE BRIDGE (05),15.0
Write In,2147483647.0,Albemarle County,0.21%,Write-In,504 - FREE BRIDGE (05),1.0
Joseph R. Biden,1.0,Albemarle County,34.76%,Democratic,506 - BAKER-BUTLER (05),333.0
Donald J. Trump,2.0,Albemarle County,61.17%,Republican,506 - BAKER-BUTLER (05),586.0
Jo Jorgensen,3.0,Albemarle County,3.65%,Libertarian,506 - BAKER-BUTLER (05),35.0
Write In,2147483647.0,Albemarle County,0.42%,Write-In,506 - BAKER-BUTLER (05),4.0
Joseph R. Biden,1.0,Albemarle County,38.82%,Democratic,507 - PANTOPS (05),151.0
Donald J. Trump,2.0,Albemarle County,55.01%,Republican,507 - PANTOPS (05),214.0
Jo Jorgensen,3.0,Albemarle County,3.86%,Libertarian,507 - PANTOPS (05),15.0
Write In,2147483647.0,Albemarle County,2.31%,Write-In,507 - PANTOPS (05),9.0
Joseph R. Biden,1.0,Albemarle County,31.63%,Democratic,601 - CROZET (05),309.0
Donald J. Trump,2.0,Albemarle County,65.81%,Republican,601 - CROZET (05),643.0
Jo Jorgensen,3.0,Albemarle County,2.25%,Libertarian,601 - CROZET (05),22.0
Write In,2147483647.0,Albemarle County,0.31%,Write-In,601 - CROZET (05),3.0
Joseph R. Biden,1.0,Albemarle County,34.77%,Democratic,602 - FREE UNION (05),226.0
Donald J. Trump,2.0,Albemarle County,63.69%,Republican,602 - FREE UNION (05),414.0
Jo Jorgensen,3.0,Albemarle County,1.23%,Libertarian,602 - FREE UNION (05),8.0
Write In,2147483647.0,Albemarle County,0.31%,Write-In,602 - FREE UNION (05),2.0
Joseph R. Biden,1.0,Albemarle County,31.50%,Democratic,603 - EARLYSVILLE (05),372.0
Donald J. Trump,2.0,Albemarle County,66.98%,Republican,603 - EARLYSVILLE (05),791.0
Jo Jorgensen,3.0,Albemarle County,1.19%,Libertarian,603 - EARLYSVILLE (05),14.0
Write In,2147483647.0,Albemarle County,0.34%,Write-In,603 - EARLYSVILLE (05),4.0
Joseph R. Biden,1.0,Albemarle County,36.49%,Democratic,604 - BROWNSVILLE (05),281.0
Donald J. Trump,2.0,Albemarle County,59.87%,Republican,604 - BROWNSVILLE (05),461.0
Jo Jorgensen,3.0,Albemarle County,2.47%,Libertarian,604 - BROWNSVILLE (05),19.0
Write In,2147483647.0,Albemarle County,1.17%,Write-In,604 - BROWNSVILLE (05),9.0
Joseph R. Biden,1.0,Albemarle County,40.24%,Democratic,606 - MECHUMS RIVER (05),363.0
Donald J. Trump,2.0,Albemarle County,55.54%,Republican,606 - MECHUMS RIVER (05),501.0
Jo Jorgensen,3.0,Albemarle County,3.44%,Libertarian,606 - MECHUMS RIVER (05),31.0
Write In,2147483647.0,Albemarle County,0.78%,Write-In,606 - MECHUMS RIVER (05),7.0
Joseph R. Biden,1.0,Alleghany County,45.82%,Democratic,# AB - Central Absentee Precinct (09),1250.0
Donald J. Trump,2.0,Alleghany County,53.15%,Republican,# AB - Central Absentee Precinct (09),1450.0
Jo Jorgensen,3.0,Alleghany County,0.88%,Libertarian,# AB - Central Absentee Precinct (09),24.0
Write In,2147483647.0,Alleghany County,0.15%,Write-In,# AB - Central Absentee Precinct (09),4.0
Joseph R. Biden,1.0,Alleghany County,0.00%,Democratic,## Provisional (09),0.0
Donald J. Trump,2.0,Alleghany County,0.00%,Republican,## Provisional (09),0.0
Jo Jorgensen,3.0,Alleghany County,0.00%,Libertarian,## Provisional (09),0.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,## Provisional (09),0.0
Joseph R. Biden,1.0,Alleghany County,11.11%,Democratic,101 - ARRITT (09),68.0
Donald J. Trump,2.0,Alleghany County,88.56%,Republican,101 - ARRITT (09),542.0
Jo Jorgensen,3.0,Alleghany County,0.00%,Libertarian,101 - ARRITT (09),0.0
Write In,2147483647.0,Alleghany County,0.33%,Write-In,101 - ARRITT (09),2.0
Joseph R. Biden,1.0,Alleghany County,11.16%,Democratic,103 - DAMERON (09),27.0
Donald J. Trump,2.0,Alleghany County,87.60%,Republican,103 - DAMERON (09),212.0
Jo Jorgensen,3.0,Alleghany County,0.83%,Libertarian,103 - DAMERON (09),2.0
Write In,2147483647.0,Alleghany County,0.41%,Write-In,103 - DAMERON (09),1.0
Joseph R. Biden,1.0,Alleghany County,13.39%,Democratic,201 - HUMPBACK BRIDGE (09),45.0
Donald J. Trump,2.0,Alleghany County,85.12%,Republican,201 - HUMPBACK BRIDGE (09),286.0
Jo Jorgensen,3.0,Alleghany County,0.89%,Libertarian,201 - HUMPBACK BRIDGE (09),3.0
Write In,2147483647.0,Alleghany County,0.60%,Write-In,201 - HUMPBACK BRIDGE (09),2.0
Joseph R. Biden,1.0,Alleghany County,16.02%,Democratic,202 - DOLLY ANN (09),66.0
Donald J. Trump,2.0,Alleghany County,82.28%,Republican,202 - DOLLY ANN (09),339.0
Jo Jorgensen,3.0,Alleghany County,1.70%,Libertarian,202 - DOLLY ANN (09),7.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,202 - DOLLY ANN (09),0.0
Joseph R. Biden,1.0,Alleghany County,7.39%,Democratic,301 - CALLAGHAN (09),28.0
Donald J. Trump,2.0,Alleghany County,91.82%,Republican,301 - CALLAGHAN (09),348.0
Jo Jorgensen,3.0,Alleghany County,0.79%,Libertarian,301 - CALLAGHAN (09),3.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,301 - CALLAGHAN (09),0.0
Joseph R. Biden,1.0,Alleghany County,17.69%,Democratic,302 - GRIFFITH (09),95.0
Donald J. Trump,2.0,Alleghany County,81.75%,Republican,302 - GRIFFITH (09),439.0
Jo Jorgensen,3.0,Alleghany County,0.56%,Libertarian,302 - GRIFFITH (09),3.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,302 - GRIFFITH (09),0.0
Joseph R. Biden,1.0,Alleghany County,14.53%,Democratic,401 - LOW MOOR (09),52.0
Donald J. Trump,2.0,Alleghany County,84.36%,Republican,401 - LOW MOOR (09),302.0
Jo Jorgensen,3.0,Alleghany County,1.12%,Libertarian,401 - LOW MOOR (09),4.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,401 - LOW MOOR (09),0.0
Joseph R. Biden,1.0,Alleghany County,15.44%,Democratic,402 - JACKSON HEIGHTS (09),63.0
Donald J. Trump,2.0,Alleghany County,83.58%,Republican,402 - JACKSON HEIGHTS (09),341.0
Jo Jorgensen,3.0,Alleghany County,0.98%,Libertarian,402 - JACKSON HEIGHTS (09),4.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,402 - JACKSON HEIGHTS (09),0.0
Joseph R. Biden,1.0,Alleghany County,26.96%,Democratic,501 - IRON GATE (09),62.0
Donald J. Trump,2.0,Alleghany County,71.30%,Republican,501 - IRON GATE (09),164.0
Jo Jorgensen,3.0,Alleghany County,1.30%,Libertarian,501 - IRON GATE (09),3.0
Write In,2147483647.0,Alleghany County,0.43%,Write-In,501 - IRON GATE (09),1.0
Joseph R. Biden,1.0,Alleghany County,17.37%,Democratic,502 - PETERS SWITCH (09),124.0
Donald J. Trump,2.0,Alleghany County,81.65%,Republican,502 - PETERS SWITCH (09),583.0
Jo Jorgensen,3.0,Alleghany County,0.84%,Libertarian,502 - PETERS SWITCH (09),6.0
Write In,2147483647.0,Alleghany County,0.14%,Write-In,502 - PETERS SWITCH (09),1.0
Joseph R. Biden,1.0,Alleghany County,27.17%,Democratic,601 - DISTRICT 1 (09),197.0
Donald J. Trump,2.0,Alleghany County,71.17%,Republican,601 - DISTRICT 1 (09),516.0
Jo Jorgensen,3.0,Alleghany County,1.66%,Libertarian,601 - DISTRICT 1 (09),12.0
Write In,2147483647.0,Alleghany County,0.00%,Write-In,601 - DISTRICT 1 (09),0.0
Joseph R. Biden,1.0,Alleghany County,31.80%,Democratic,701 - DISTRICT 2 (09),166.0
Donald J. Trump,2.0,Alleghany County,64.56%,Republican,701 - DISTRICT 2 (09),337.0
Jo Jorgensen,3.0,Alleghany County,3.45%,Libertarian,701 - DISTRICT 2 (09),18.0
Write In,2147483647.0,Alleghany County,0.19%,Write-In,701 - DISTRICT 2 (09),1.0
Joseph R. Biden,1.0,Amelia County,39.43%,Democratic,# AB - Central Absentee Precinct (07),1719.0
Donald J. Trump,2.0,Amelia County,59.52%,Republican,# AB - Central Absentee Precinct (07),2595.0
Jo Jorgensen,3.0,Amelia County,0.85%,Libertarian,# AB - Central Absentee Precinct (07),37.0
Write In,2147483647.0,Amelia County,0.21%,Write-In,# AB - Central Absentee Precinct (07),9.0
Joseph R. Biden,1.0,Amelia County,51.35%,Democratic,## Provisional (07),19.0
Donald J. Trump,2.0,Amelia County,45.95%,Republican,## Provisional (07),17.0
Jo Jorgensen,3.0,Amelia County,2.70%,Libertarian,## Provisional (07),1.0
Write In,2147483647.0,Amelia County,0.00%,Write-In,## Provisional (07),0.0
Joseph R. Biden,1.0,Amelia County,16.55%,Democratic,101 - NUMBER ONE (07),114.0
Donald J. Trump,2.0,Amelia County,82.15%,Republican,101 - NUMBER ONE (07),566.0
Jo Jorgensen,3.0,Amelia County,1.31%,Libertarian,101 - NUMBER ONE (07),9.0
Write In,2147483647.0,Amelia County,0.00%,Write-In,101 - NUMBER ONE (07),0.0
Joseph R. Biden,1.0,Amelia County,19.23%,Democratic,201 - NUMBER TWO (07),135.0
Donald J. Trump,2.0,Amelia County,79.06%,Republican,201 - NUMBER TWO (07),555.0
Jo Jorgensen,3.0,Amelia County,1.71%,Libertarian,201 - NUMBER TWO (07),12.0
Write In,2147483647.0,Amelia County,0.00%,Write-In,201 - NUMBER TWO (07),0.0
Joseph R. Biden,1.0,Amelia County,17.72%,Democratic,301 - NUMBER THREE (07),123.0
Donald J. Trump,2.0,Amelia County,80.98%,Republican,301 - NUMBER THREE (07),562.0
Jo Jorgensen,3.0,Amelia County,1.15%,Libertarian,301 - NUMBER THREE (07),8.0
Write In,2147483647.0,Amelia County,0.14%,Write-In,301 - NUMBER THREE (07),1.0
Joseph R. Biden,1.0,Amelia County,16.36%,Democratic,401 - NUMBER FOUR (07),90.0
Donald J. Trump,2.0,Amelia County,82.73%,Republican,401 - NUMBER FOUR (07),455.0
Jo Jorgensen,3.0,Amelia County,0.91%,Libertarian,401 - NUMBER FOUR (07),5.0
Write In,2147483647.0,Amelia County,0.00%,Write-In,401 - NUMBER FOUR (07),0.0
Joseph R. Biden,1.0,Amelia County,24.51%,Democratic,501 - NUMBER FIVE (07),211.0
Donald J. Trump,2.0,Amelia County,74.33%,Republican,501 - NUMBER FIVE (07),640.0
Jo Jorgensen,3.0,Amelia County,0.93%,Libertarian,501 - NUMBER FIVE (07),8.0
Write In,2147483647.0,Amelia County,0.23%,Write-In,501 - NUMBER FIVE (07),2.0
Joseph R. Biden,1.0,Amherst County,45.75%,Democratic,# AB - Central Absentee Precinct (06),3871.0
Donald J. Trump,2.0,Amherst County,53.03%,Republican,# AB - Central Absentee Precinct (06),4487.0
Jo Jorgensen,3.0,Amherst County,1.02%,Libertarian,# AB - Central Absentee Precinct (06),86.0
Write In,2147483647.0,Amherst County,0.20%,Write-In,# AB - Central Absentee Precinct (06),17.0
Joseph R. Biden,1.0,Amherst County,91.67%,Democratic,## Provisional (06),55.0
Donald J. Trump,2.0,Amherst County,6.67%,Republican,## Provisional (06),4.0
Jo Jorgensen,3.0,Amherst County,1.67%,Libertarian,## Provisional (06),1.0
Write In,2147483647.0,Amherst County,0.00%,Write-In,## Provisional (06),0.0
Joseph R. Biden,1.0,Amherst County,40.10%,Democratic,101 - WRIGHT SHOP (06),249.0
Donald J. Trump,2.0,Amherst County,58.29%,Republican,101 - WRIGHT SHOP (06),362.0
